imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt1588398,IFC Films,9207,0,,1 hr 41 min,Drama Mystery Romance Thriller,36578,372102,408680
tt0084867,Film Ventures International,1588464,0,,1 hr 30 min,Action Crime Thriller,5091888,0,5091888
tt0037054,,0,0,,1 hr 42 min,Drama Romance,0,0,0
tt0046057,,0,0,,1 hr 20 min,Drama Fantasy Horror Mystery Sci-Fi,0,0,0
tt0999913,Screen Gems,5123760,25000000,R,1 hr 50 min,Action Drama Thriller,10324441,844271,11168712
tt0836683,,0,0,,2 hr,Adventure Horror Thriller,0,284801,284801
tt1466072,Oscilloscope,6510,0,,1 hr 27 min,Documentary,46380,0,46380
tt0045332,,0,0,,1 hr 38 min,Biography Drama Family Romance Sport,0,0,0
tt0079144,,0,0,,1 hr 30 min,Drama Romance,0,0,0
tt1210166,Sony Pictures Releasing,19501302,50000000,PG-13,2 hr 13 min,Biography Drama Sport,75605492,34600724,110206216
tt1508675,Janus Films,26363,0,,1 hr 33 min,Comedy Drama,611709,12347997,12959706
tt1226261,,0,0,,1 hr 25 min,Documentary,0,0,0
tt0032610,,0,0,,1 hr 29 min,Drama Thriller,0,0,0
tt1227378,,0,0,,1 hr 37 min,Documentary,0,0,0
tt0036919,,0,0,,1 hr 30 min,Comedy Musical Romance,0,0,0
tt1562872,Eros Worldwide,960548,0,,2 hr 35 min,Comedy Drama Musical Romance,3108485,2084258,5192743
tt1058027,,0,0,,1 hr 26 min,Drama,0,49699,49699
tt1498569,Sony Pictures Classics,15467,8000000,PG-13,1 hr 31 min,Drama Romance,163265,2354747,2518012
tt1661099,,0,0,,1 hr 30 min,Crime Drama Thriller,0,0,0
tt0094375,,0,0,R,1 hr 31 min,Action Drama,0,0,0
tt1560970,,0,0,,2 hr 4 min,Drama,0,2019939,2019939
tt1425933,,0,0,,1 hr 34 min,Comedy Drama Fantasy,0,0,0
tt0041378,,0,0,,1 hr,Crime Drama Film-Noir Mystery,0,0,0
tt1825918,,0,0,,1 hr 18 min,Action Adventure Animation Comedy Family Musical Sci-Fi,0,0,0
tt1632547,,0,0,,2 hr 26 min,Crime Drama Horror Thriller,0,0,0
tt0067641,,0,0,,1 hr 27 min,Drama Romance,0,0,0
tt0368287,,0,0,,1 hr 43 min,Biography Documentary History Music,0,592910,592910
tt0486541,,0,0,,1 hr 35 min,Biography Documentary Music,0,69521,69521
tt0112710,,0,0,,2 hr 50 min,Comedy Drama,0,0,0
tt0070565,,0,0,,1 hr 43 min,Drama Horror Mystery Thriller,0,0,0
tt0081606,,0,0,,1 hr 38 min,Comedy Drama Romance,0,2878,2878
tt0058405,,0,0,,1 hr 22 min,Mystery Thriller,0,0,0
tt0478175,,0,0,,1 hr 33 min,Drama,0,0,0
tt0210167,,0,0,,1 hr 47 min,Drama,0,0,0
tt0210163,,0,0,,1 hr 36 min,Comedy Drama,0,0,0
tt1372685,,0,0,,1 hr 40 min,Drama,0,592924,592924
tt1545759,Magnolia Pictures,41031,0,R,1 hr 24 min,Action Crime Drama Thriller,708215,8779230,9487445
tt0406977,Eros Worldwide,162687,0,,2 hr 46 min,Comedy Crime Mystery Thriller,308566,374455,683021
tt0061037,,0,0,,1 hr 51 min,Comedy Drama Romance,0,0,0
tt0069451,,0,0,,1 hr 41 min,Drama,0,0,0
tt1320352,,0,0,,1 hr 25 min,Drama,0,973377,973377
tt1233301,,0,0,R,2 hr 1 min,Action Drama History Romance War,0,5151023,5151023
tt1146298,,0,0,,1 hr 7 min,Documentary,0,0,0
tt0047050,,0,0,,1 hr 40 min,Adventure Drama,0,0,0
tt1954794,,0,0,,58 min,Comedy,0,0,0
tt0023277,Paramount Pictures,0,0,,1 hr 25 min,Comedy Drama Romance,0,0,0
tt0027307,,0,0,,1 hr 16 min,Comedy Drama,0,0,0
tt0328952,,0,0,,50 min,Documentary,0,0,0
tt0088454,,0,0,,1 hr 35 min,Horror Thriller,0,0,0
tt0051343,,0,0,,1 hr 42 min,Drama,0,0,0
tt1365023,,0,0,,1 hr 33 min,Documentary History Romance War,0,1344,1344
tt0139500,,0,0,,2 hr 51 min,Drama,0,2912,2912
tt0052812,,0,0,,1 hr 24 min,Action Adventure Crime Drama Thriller,0,0,0
tt0352531,,0,0,,2 hr 1 min,Action Adventure Drama,0,0,0
tt0844794,,0,0,,1 hr 24 min,Drama Romance,0,0,0
